127.0.0.1 - - [09/Aug/2020:21:27:36 +0900] "GET / HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:37 +0900] "GET / HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:47 +0900] "GET /main HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:47 +0900] "GET /resources/Images/test.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:48 +0900] "POST /tag HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:48 +0900] "POST /post HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:48 +0900] "GET /resources/Images/%EF%BF%BD%D9%BF%EF%BF%BD%CE%B5%EF%BF%BD.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:51 +0900] "GET /cart?user_id=dongtae141asdf&&post_no=12 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:54 +0900] "GET /resources/Images/test.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:54 +0900] "GET /resources/Images/test.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:54 +0900] "POST /tag HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:54 +0900] "POST /post HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:27:54 +0900] "GET /resources/Images/%EF%BF%BD%D9%BF%EF%BF%BD%CE%B5%EF%BF%BD.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:43 +0900] "GET /cart?user_id=dongtae141asdf&&post_no=13 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:47 +0900] "GET /resources/Images/test.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:47 +0900] "GET /resources/Images/test.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:47 +0900] "POST /tag HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:47 +0900] "POST /post HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Aug/2020:21:35:47 +0900] "GET /resources/Images/%EF%BF%BD%D9%BF%EF%BF%BD%CE%B5%EF%BF%BD.jpg HTTP/1.1" 404 721
